Time,time(h),time(min),umol/L,o2sat,light
23-07-2013 15:01:09,0.977694,24.37074,263.141,131.50,d
23-07-2013 15:01:14,0.979085,24.4542,266.876,133.37,d
23-07-2013 15:01:19,0.980477,24.53772,266.167,133.02,d
23-07-2013 15:01:24,0.981868,24.62118,262.287,131.08,d
23-07-2013 15:01:29,0.983258,24.70458,260.337,130.10,d
23-07-2013 15:01:34,0.98465,24.7881,257.595,128.73,d
23-07-2013 15:01:39,0.986041,24.87156,253.751,126.81,d
23-07-2013 15:01:44,0.987433,24.95508,248.908,124.39,d
23-07-2013 15:01:49,0.988823,25.03848,246.297,123.09,d
23-07-2013 15:01:54,0.990215,25.122,243.478,121.68,d
23-07-2013 15:01:59,0.991606,25.20546,241.427,120.65,d
23-07-2013 15:02:04,0.992996,25.28886,239.022,119.45,d
23-07-2013 15:02:09,0.994387,25.37232,236.228,118.05,d
23-07-2013 15:02:14,0.995778,25.45578,233.433,116.66,d
23-07-2013 15:02:19,0.997169,25.53924,231.035,115.46,d
23-07-2013 15:02:24,0.998561,25.62276,231.284,115.58,d
23-07-2013 15:02:29,0.999951,25.70616,230.325,115.10,d
23-07-2013 15:02:34,1.00134,25.7895,228.675,114.28,d
23-07-2013 15:02:39,1.00273,25.8729,226.737,113.31,d
23-07-2013 15:02:44,1.00412,25.9563,225.162,112.52,d
23-07-2013 15:02:49,1.00551,26.0397,223.124,111.51,d
23-07-2013 15:02:54,1.00691,26.1237,220.881,110.39,d
23-07-2013 15:02:59,1.0083,26.2071,218.842,109.37,d
23-07-2013 15:03:04,1.00969,26.2905,217.029,108.46,d
23-07-2013 15:03:09,1.01108,26.3739,215.205,107.55,d
23-07-2013 15:03:14,1.01247,26.4573,213.133,106.51,d
23-07-2013 15:03:19,1.01386,26.5407,210.393,105.14,d
23-07-2013 15:03:24,1.01525,26.6241,206.966,103.43,d
23-07-2013 15:03:29,1.01664,26.7075,201.353,100.63,d
23-07-2013 15:03:34,1.01803,26.7909,163.535,81.73,d
23-07-2013 15:03:39,1.01942,26.8743,132.87,66.40,d
23-07-2013 15:03:44,1.02082,26.9583,103.687,51.82,d
23-07-2013 15:03:49,1.02221,27.0417,76.2779,38.12,d
23-07-2013 15:03:54,1.0236,27.1251,56.3034,28.14,d
23-07-2013 15:03:59,1.02499,27.2085,44.4357,22.21,d
23-07-2013 15:04:04,1.02638,27.2919,38.9071,19.44,d
23-07-2013 15:04:09,1.02777,27.3753,34.3342,17.16,d
23-07-2013 15:04:14,1.02916,27.4587,29.0744,14.53,d
23-07-2013 15:04:19,1.03055,27.5421,24.1044,12.05,d
23-07-2013 15:04:24,1.03194,27.6255,21.3769,10.68,d
23-07-2013 15:04:29,1.03333,27.7089,17.1239,8.56,d
23-07-2013 15:04:34,1.03473,27.7929,15.1011,7.55,d
23-07-2013 15:04:39,1.03612,27.8763,14.4807,7.24,d
23-07-2013 15:04:44,1.03751,27.9597,13.4917,6.74,d
23-07-2013 15:04:49,1.0389,28.0431,12.9598,6.48,d
23-07-2013 15:04:54,1.04029,28.1265,13.0161,6.50,d
23-07-2013 15:04:59,1.04168,28.2099,13.7808,6.89,d
23-07-2013 15:05:04,1.04307,28.2933,15.5558,7.77,d
23-07-2013 15:05:09,1.04446,28.3767,18.1584,9.07,d
23-07-2013 15:05:14,1.04585,28.4601,21.1953,10.59,d
23-07-2013 15:05:19,1.04724,28.5435,25.7147,12.85,d
23-07-2013 15:05:24,1.04864,28.6275,31.595,15.79,d
23-07-2013 15:05:29,1.05003,28.7109,36.3521,18.17,d
23-07-2013 15:05:34,1.05142,28.7943,41.782,20.88,d
23-07-2013 15:05:39,1.05281,28.8777,47.1603,23.57,d
23-07-2013 15:05:44,1.0542,28.9611,52.2478,26.11,d
23-07-2013 15:05:49,1.05559,29.0445,58.7663,29.37,d
23-07-2013 15:05:54,1.05698,29.1279,63.5905,31.78,d
23-07-2013 15:05:59,1.05837,29.2113,67.6321,33.80,d
23-07-2013 15:06:04,1.05976,29.2947,71.5977,35.78,d
23-07-2013 15:06:09,1.06116,29.3787,75.8123,37.89,d
23-07-2013 15:06:14,1.06255,29.4621,79.1834,39.57,d
23-07-2013 15:06:19,1.06394,29.5455,81.2258,40.59,d
23-07-2013 15:06:24,1.06533,29.6289,82.4846,41.22,d
23-07-2013 15:06:29,1.06672,29.7123,83.8068,41.88,d
23-07-2013 15:06:34,1.06811,29.7957,84.3201,42.14,d
23-07-2013 15:06:39,1.0695,29.8791,85.0392,42.50,d
23-07-2013 15:06:44,1.07089,29.9625,86.5741,43.27,d
23-07-2013 15:06:50,1.07228,30.0459,88.8363,44.40,d
23-07-2013 15:06:55,1.07367,30.1293,90.8485,45.40,d
23-07-2013 15:07:00,1.07506,30.2127,92.7627,46.36,d
23-07-2013 15:07:05,1.07646,30.2967,95.1591,47.56,d
23-07-2013 15:07:10,1.07785,30.3801,97.3906,48.67,l
23-07-2013 15:07:15,1.07924,30.4635,98.3158,49.13,l
23-07-2013 15:07:20,1.08063,30.5469,102.755,51.35,l
23-07-2013 15:07:25,1.08202,30.6303,118.148,59.04,l
23-07-2013 15:07:30,1.08341,30.7137,132.865,66.40,l
23-07-2013 15:07:35,1.0848,30.7971,149.506,74.72,l
23-07-2013 15:07:40,1.08619,30.8805,169.904,84.91,l
23-07-2013 15:07:45,1.08758,30.9639,190.254,95.08,l
